O zdroji umění /,,,1960,"['Majakovskij, Vladimir Vladimirovič,', 'Marx, Karl,', 'Volek, Jaroslav,', 'Černyševskij, Nikolaj Gavrilovič,']","['estetika', 'estetika', 'estetika', 'estetika']",['studie']
Problematika vzniku marxistické estetiky v Československu /,,,1960,"['Marx, Karl,', 'Engels, Friedrich,', 'Hostinský, Otakar,', 'Nejedlý, Zdeněk,', 'Zich, Otakar,', 'Václavek, Bedřich,', 'Neumann, Stanislav Kostka,', 'Fischer, Otokar,']","['dějiny estetiky', 'dějiny estetiky']",['studie']
Sémantické problémy umění u Josefa Durdíka (Z dějin české estetiky: formalismus a sémantika) /,,,1960,"['Durdík, Josef,', 'Herbart, Johann Friedrich,', 'Zimmermann, Robert,', 'Hegel, Georg Wilhelm Friedrich,', 'Hostinský, Otakar,', 'Kant, Immanuel,', 'Novák, Mirko,', 'Vischer, Friedrich Theodor von,']","['dějiny estetiky', 'dějiny estetiky', 'dějiny estetiky']",['studie']
Jak to bylo s knihami o vánocích? /,,,1957,[],"['knižní obchod', 'knižní obchod']",['glosy']
[Od příštího čísla začneme uveřejňovat fejetony Vítězslava Nezvala...] /,,,1957,"['Nezval, Vítězslav,']",['vzpomínky'],['zprávy']
Rok J. A. Komenského /,,,1957,"['Komenský, Jan Amos,']",['výročí'],['poznámky']
Pohádka s basou /,,,1957,"['Kubátová, Marie,']","['divadelní premiéry', 'divadelní premiéry', 'divadelní premiéry']",['referáty']
Odpověď ředitele n. p. Kniha /,,,1957,[],"['knižní obchod', 'knižní obchod', 'knižní obchod']",['diskuse']
Několik poznámek o překládání romantické poesie /,,,1957,"['Słowacki, Juliusz,', 'Králík, Oldřich,']","['literární překlady', 'literární překlady']",['články']
O české literatuře ve dnech Mnichova /,,,1957,"['Čapek, Karel,', 'Seifert, Jaroslav,', 'Halas, František,']",['česká poezie'],"['recenze', 'nekrology']"
Petra Chelčického výklad na čtení sv. Jana v 1. kapitole : věnováno prof. Fr. Ryšánkovi /,,,1955,"['Chelčický, Petr,', 'Ryšánek, František,', 'Hus, Jan,', 'Müller, Josef Theodor,']","['postily', 'postily', 'postily', 'postily']",['články']
