,title,author,author code,year,figures,description,genre
18619,Doslov aneb Abdikace.,,,1979,"Bondy, Egon,;Sekal, Zbyněk,;Černá, Jana,;Medek, Mikuláš,",ideologie;kritika společnosti;socialismus;kapitalismus;nonkonformismus;revolta,manifesty;předmluvy
18620,Corpus delicti Vladimíra Boudníka.,,,1979,"Boudník, Vladimír,",výtvarní umělci;akční malba;explosionalismus,sborníky;české prózy;deníky;korespondence;ediční poznámky
18621,Popravený miláček strany /,-JP-,,1988,"Bucharin, Nikolaj Ivanovič,;Latyšev, Anatolij Georgijevič",bolševici;sovětští spisovatelé;stalinismus;politické čistky;popravy;interpretace dějin;perestrojka;vyrovnání se s minulostí,články;poznámky
18622,Nějaká souvislost tady být musí /,"Hanák, Jiří,",jk01033352,1988,,domácí zabijačka;ministerstva;výzkumné ústavy;státní úředníci;hospodářské poměry;kvalita potravin,fejetony
18623,Hledáme cesty k registraci /,LN,,1988,,samizdatové časopisy;noviny;vydávání periodik;právnické osoby;nezávislé občanské iniciativy,zprávy
18624,Jaká hra /,"Vaculík, Ludvík,",jk01141068,1988,"Dubček, Alexander,",interpretace dějin;sociální prognózování,fejetony
18625,Medorek /,"Placák, Petr,",jn99240000880,1988,,čeští spisovatelé;česká próza;undergroundová kultura,české prózy;úryvky;bio-bibliografické poznámky
18626,Mýtus Slušovice /,"Uhl, Petr,",jn19990010012,1988,"Devátý, Stanislav,",programátoři;disidenti;politická perzekuce;propouštění zaměstnanců;petice,články
18627,"""JZD Agrokombinát Slušovice nepřipustí, aby kdokoliv narušoval jeho rozvoj"" /","Hyánková, V.",,1988,"Devátý, Stanislav,",zemědělská družstva;kybernetika;petice;lidská práva;ideologie,dokumenty;články
18628,Doktor Pitzinger : [Dvaasedmdesát roky mám já] /,,,1988,,hudební skupiny;rock,česká poezie;písňové texty;poznámky
18629,Videojournal.,,,1988,"Valton, Arvo,;Warhol, Andy,;Švestka, Jaroslav,;Srp, Karel,;Urbánek, Zdeněk,",videozáznamy;alternativní kultura;spisovatelé;umělci;výstavy;lidská práva;politická perzekuce,zprávy
18630,Anketa LN.,,,1988,"Kovtun, Jiří,;Wajda, Andrzej,;Bittová, Iva,;Fajt, Pavel,;Steklík, Jan,",historiografie;filmy;výstavy;hudební nahrávky;alternativní kultura,ankety
18631,Uchovávat hodnoty /,-mus-,,1988,"Burian, Jan,;Pospíšil, Ivo,;Skalník, Joska,;Kratochvíl, Martin,;Dobeš, Pavel,",hudebníci;hudební nahrávky;hudební nakladatelství a vydavatelství;do it yourself (kultura);alternativní hudba,články
18632,Umění a pocta Andy Warholovi /,"Bartlová, Milena,",jn19981000203,1988,"Warhol, Andy,;Cihlář, Michal,;Merta, Jan,;Němec, Martin,;Singer, Michal,;Diviš, Stanislav,",výtvarné umění;alternativní kultura;umělci;výstavy;generace;autenticita (umění);postmodernismus (kultura),zprávy
18633,Beznadějně vyprodáno - diskuse se nekoná! /,-mp-,,1988,"Sabina, Karel,;Urválek, Josef,;Oslzlý, Petr,;Zavarský, Ján,",divadelní inscenace;alternativní divadlo;interpretace dějin;politika;zbabělost;informátoři policie;libretisté,zprávy
18634,Sondy /,jih,,1988,,televize;televizní pořady;televizní publicistika;socialismus,komentáře
18635,Je to trochu jinak /,"Hanák, Jiří,",jk01033352,1988,,hospodářské poměry;socialismus,fejetony
18636,Téma: české dějiny.,,,1988,,historiografie;historici;literární historici;spisovatelé;novináři;interpretace dějin;alternativní kultura;samizdat,zprávy
18637,Důvody ke skepsi a zdroje naděje /,"Havel, Václav,",jk01040240,1988,"Gorbačev, Michail Sergejevič,;Jakeš, Miloš,",politika a vláda;společnost a politika;politická moc;perestrojka;disidenti,úvahy
18638,My jsme zažili jen ten osmašedesátý /,"Ambrož, Michal,",xx0037721,1988,"Ambrož, Michal,",Srpen (1968 : Československo);hudební skupiny;politická perzekuce;cenzura;rock,rozhovory;poznámky
18639,Přestupky paměti /,"Šimečka, Milan,",jk01123018,1988,"Biľak, Vasil,;Novotný, Antonín,",memoárová literatura;komunistický režim;politika;politická kultura;politické ideologie;samizdat,komentáře
18640,Všechno je naopak : [Zase mi stoupá tlak] /,,,1988,,hudební skupiny;rock;hudební nakladatelství a vydavatelství;cenzura;kultura a ideologie;kultura a ideologie,česká poezie;písňové texty;poznámky
18641,Depeche Mode v Praze /,R.,,1988,"Gahan, Dave,;Gore, Martin,;Fletcher, Andy,;Wilder, Alan,",hudební skupiny;rock;koncerty;fanoušci,zprávy;reportáže
18642,Jazykové zákampí /,"Jelínek, Milan,",jn20000401227,1988,"Trávníček, František,",spisovná čeština;etymologie;strukturní lingvistika;jazyková kultura;purismus,články
18643,Odvážný občan Nýče /,"Urbánek, Zdeněk,",jk01140872,1988,,čeští spisovatelé;překladatelé,české prózy;bio-bibliografické poznámky
18644,Kroky k registraci.,,,1988,,samizdatové časopisy;noviny;vydávání periodik;právnické osoby,zprávy
18645,Akreditace č. 465 /,"Urban, Jan,",jn19990010014,1988,"Borovik, Genrich Aviezerovič",novináři;akreditace;samizdatové časopisy;noviny;konference;lidská práva;nezávislé občanské iniciativy,články;reportáže
18646,Houkání v mlze /,"Procházková, Lenka,",jn19990218087,1988,,,fejetony
18647,Rozhovor LN se Zdislavem Šulcem.,"Šulc, Zdislav,",jk01131689,1988,"Šulc, Zdislav,",ekonomové;konference;politická perzekuce;socialistické hospodářství,rozhovory
18648,Pan Václav K. jde do důchodu /,"Hanák, Jiří,",jk01033352,1988,,,fejetony
18649,Chudinka Staroměstská radnice /,-R-,,1988,,architektura;projektové návrhy;architektonické soutěže;historické budovy;bombardování;obnova a rekonstrukce památek,úvahy
18650,Únoroví vítězové a poražení /,Rl,,1988,"Matějka, Jaroslav,",Únor (1948 : Československo);televizní adaptace;televizní seriály;interpretace dějin;kultura a ideologie,glosy
18651,Nesnesitelná lehkost podruhé /,-ir-,,1988,"Kundera, Milan,;Jireš, Jaromil,;Kaufman, Philip,",filmové adaptace;filmoví režiséři;filmová kritika;český román;emigrace;Srpen (1968 : Československo);erotika,zprávy
18652,Vítězství panelu nad filmem /,"Stankovič, Andrej,",jk01120886,1988,"Chytilová, Věra,",režisérky;československá nová vlna;sídliště;filmová dramaturgie;filmové postavy;stereotypy;černoši,recenze
18653,Ůvahy a poezie /,"Medek, Mikuláš,",jk01081027,1988,"Medek, Mikuláš,;Medková, Emila,",malíři;alternativní kultura,české prózy;úryvky;bio-bibliografické poznámky
18654,Jazykové zákampí /,"Jelínek, Milan,",jn20000401227,1988,"Chloupek, Jan,;Petr, Jan,",pravopis;pravopisná pravidla;cizí slova;lingvisté,články
18655,Protekce : [Syn advokáta] /,,,1988,,hudební skupiny;punk (hudba),česká poezie;písňové texty;poznámky
18656,Rockfest ’88 /,"Hanzel, Vladimír,",jn20000400880,1988,"Hoffman, Ivan,",hudební festivaly;hudební dramaturgie;punk (hudba);rock;folk,články
18657,Ještě dvakrát radnice /,-vk-,,1988,,architektura;architekti;projektové návrhy;architektonické soutěže;historické budovy;obnova a rekonstrukce památek,polemiky
18658,Dojmy z posledních premiér /,-F-,,1988,"Materič, Mladen;Čechov, Anton Pavlovič,;O'Neill, Eugene,;Weiss, Peter,",divadelní premiéry;divadelní inscenace;divadelní režiséři;divadelní herci,články
18659,Dějepis příkladně opatrný /,"Bartlová, Milena,",jn19981000203,1988,"Opitz, Josef,;Neumann, Jaromír,;Švácha, Rostislav,",dějiny umění;historiografie umění;historici umění;výtvarné umění;gotické umění;barokní umění;památky;umění a dějiny;česko-německé vztahy,recenze
18660,Odpovídá Ladislav Novák : 1 + 1 = 2 /,"Novák, Ladislav,",jk01090477,1988,"Novák, Ladislav,;Deml, Jakub,",surrealismus (literatura);surrealismus (umění);literatura a umění;konkrétní poezie;výtvarné umění,rozhovory
