,title,author,author code,year,figures,description,genre
5605,Seminář o pražské literatuře /,"Vašíček, Petr",,1985,,literární druhy;dějiny české literatury;maďarská literatura,referáty
5606,Židovské náboženské obce v zrcadle režimní politiky /,"Kratochvil, Antonín,",jk01062954,1985,,židovská literatura,recenze
5607,Snahy pražských vědeckých časopisů první poloviny 19.století : o dohodu mezi Čechy a Němci /,"Měšťan, Antonín,",jk01081347,1985,,odborné časopisy;starší česká literatura;maďarská literatura,studie
5608,Znovu o českém baroku : na okraj knihy Antonína Kratochvila.,,,1985,"Kratochvil, Antonín,;Lobkowicz, Mikuláš,;Svoboda, Jiří S.;Dresler, Jaroslav,;Měšťan, Antonín,",starší česká literatura,recenze
5609,Pověst o Blaníku a svatý Václav /,"Ryneš, Václav,",jo2013743273,1985,,lidová slovesnost;starší česká literatura,studie
5610,Literatura v zrcadle kulturní politiky v roce 1984 : Březen 1984 - březen 1985 /,"Kratochvil, Antonín,",jk01062954,1985,"Seifert, Jaroslav,",česká literatura;rumunská literatura,studie
5611,K osmdesátinám Václava Černého : Dokument Charty 77 č.8/85,,,1985,"Černý, Václav,",osobnosti,medailony
5612,Prof. Václav Černý a Štěpán kardinál Trochta /,"Podivínský, Miroslav",kpwa5015,1985,"Černý, Václav,;Trochta, Štěpán,",osobnosti,medailony
5613,Na okraj Melancholie Josefa Kostohryze /,"Kratochvil, Antonín,",jk01062954,1985,"Kostohryz, Josef,",česká poezie;česká próza,recenze
5614,Literatura před soudem.,,,1985,"Kotrlá, Iva,;Rotrekl, Zdeněk,;Zouhar, Jan",česká literatura;osobnosti,dokumenty
5615,Básník v našem středu : Na okraj básnických sbírek Libora Kovala /,"Kratochvil, Antonín,",jk01062954,1985,"Koval, Libor,",osobnosti,medailony
5616,Vzpomínka místo nekrologu : K nedožitým osmdesátinám Františka Lazeckého /,"Vladislav, Jan,",jk01150006,1985,"Lazecký, František,;Pilař, Jan,;Brousil, Antonín Martin,;Zach, Jan",čeští spisovatelé;časopisy;osobnosti,paměti
5617,Brána /,"Pavlová, Zuzana",,1985,"Lazecký, František,;Weilová, Simona",osobnosti,analýzy
5618,"J.Pecháček, Masaryk-Beneš-Hrad /","Kolář, Petr,",jn20000401399,1985,"Pecháček, Jaroslav,",osobnosti,recenze
5619,Rozhovor /,"Opasek, Anastáz,",jk01091154,1985,"Opasek, Anastáz,",osobnosti,rozhovory
5620,Jan Zahradníček - 80 /,"Dresler, Jaroslav,",jk01023057,1985,"Zahradníček, Jan,",osobnosti,medailony
5621,Nedožité osmdesátiny Jana Zahradníčka.,,,1985,"Zahradníček, Jan,",osobnosti,medailony
5622,K šedesátinám rektora Karla Vrána /,"Skalický, Karel,",jn19990009982,1985,"Želivan, Pavel,;Vrána, Karel,",pseudonym;osobnosti,medailony
5623,Nad knihou Rio Preisnera Česká existence /,"Zvěřina, Josef,",jn19981002448,1986,"Preisner, Rio,",literatura,recenze
5624,Kaplanova Nekrvavá revoluce /,"Kolář, Petr,",jn20000401399,1986,"Kaplan, Karel,",literatura,recenze
5625,Poznámky k Měšťanovým Dějinám české literatury /,"Mácha, Karel,",jk01072913,1986,"Lettenbauer, Wilhelm;Měšťan, Antonín,",dějiny české literatury;maďarská literatura,recenze
5626,Stalinský model : Antifašistický kongres v Paříži 1935 /,"Dresler, Jaroslav,",jk01023057,1986,"Pasternak, Boris Leonidovič,;Nezval, Vítězslav,",literární druhy;česká literatura,studie
5627,Budoucnost národní kultury /,"Dresler, Jaroslav,",jk01023057,1986,,realismus socialistický;česká literatura,referáty
5628,Umění potapěčů /,"Vladislav, Jan,",jk01150006,1986,"Holan, Vladimír,;Deml, Jakub,",osobnosti,články
5629,Zemřel Jaroslav Seifert.,,,1986,"Seifert, Jaroslav,;Janouch, František,",osobnosti,dokumenty
5630,Překlad a výklad jedné Eliotovy básně /,"Čapek, Milíč,",jk01021030,1986,"Eliot, T. S.",bulharská literatura,komentáře
5631,Univerzální myšlení : K stému výročí narození Romana Guardiniho /,"Schilson, Arno",,1986,"Guardini, Romano,",náboženství;maďarská literatura,studie
5632,Pokračování tzv. pražské německé literatury ve Švýcarsku /,"Měšťan, Antonín,",jk01081347,1986,"Lotar, Petr,",česká próza;německy psaný román,medailony
5633,Česká poezie polsky /,"Vašíček, Petr",,1986,"Baluch, Jacek,",česká literatura;německá literatura,poznámky
5634,Cena Jiřího Lederera.,,,1986,"Jagodziński, Andrzej Sławomir,",literární překlady;německá literatura,zprávy
5635,Masarykova interpretace díla Lva Tolstého /,"Měšťan, Antonín,",jk01081347,1986,"Tolstoj, Lev Nikolajevič,;Masaryk, Tomáš Garrigue,",ruská literatura,studie
5636,Další dílo Svaté Terezie česky /,"Koláček, Josef,",ola200201012,1986,"Teresa de Jesús,",řecká literatura,recenze
5637,Smysl pro humor /,"Vrána, Karel,",jn19981002366,1987,"Durych, Jaroslav,;Hašek, Jaroslav,;Kundera, Milan,",bible;humor;literatura;náboženství,studie
5638,Za Václavem Černým : Dokument Charty 77 č.45/87,,,1987,"Černý, Václav,",osobnosti,nekrology
5639,Za Dagmar Eisnerovou /,"Karásek, Svatopluk,",jn19990202005,1987,"Eisnerová, Dagmar,",osobnosti,nekrology
5640,Dvě knížky Jiřího Mrázka /,"Štěpán, Václav,",pna2006370661,1987,"Mrázek, Jiří,",,recenze
5641,Myslit s Janem Patočkou /,"Němec, Jiří,",jk01083071,1987,"Patočka, Jan,",osobnosti,eseje
5642,"Jan Zahradníček, Dům strach /","Benáček, Josef",kpwa1584,1987,"Zahradníček, Jan,",česká poezie,studie
5643,Josef Zvěřina padesát let knězem /,"Skalický, Karel,",jn19990009982,1987,"Zvěřina, Josef,",osobnosti,medailony
5644,Česká poezie německy /,"Měšťan, Antonín,",jk01081347,1987,"Nezdařil, Ladislav,",dějiny české literatury;maďarská literatura,recenze
5645,Janáček a Brod /,"Vašíček, Petr",,1987,"Mackerras, Charles,;Susskind, Charles,;Brod, Max,;Janáček, Leoš,",německy psaná literatura,recenze
5646,Brod a Sabina /,"Dresler, Jaroslav,",jk01023057,1987,"Brod, Max,;Sabina, Karel,",maďarská literatura,poznámky
5647,Goethe a tradice /,"Reiss, Hans",,1987,"Goethe, Johann Wolfgang von,",maďarská literatura,studie
5648,Hans Urs von Balthasar : Poznámky na okraj jeho života a díla /,"Neuwirth, Vladimír,",jn19990201040,1987,"Urs von Balthasar, Hans",maďarská literatura,studie
5649,Současná polská náboženská poezie /,"Měšťan, Antonín,",jk01081347,1987,"Sochoń, Jan,",německá literatura,recenze
5650,Spunarovo panorama české středověké kultury /,"Holeček, Jindřich",kpwa5003,1988,"Spunar, Pavel,",literatura,recenze
5651,Nové publikace o českém baroku /,"Kratochvil, Antonín,",jk01062954,1988,,starší česká literatura;baroko,recenze
5652,Z ediční činnosti Křesťanské akademie /,"Skalický, Karel,",jn19990009982,1988,"Koláček, Josef,;Palouš, Radim,;Bridel, Bedřich,",literatura pro děti;česká literatura,recenze
5653,85 let od narození Jana Čepa /,"Dresler, Jaroslav,",jk01023057,1988,"Čep, Jan,",osobnosti,medailony
5654,Hommage a Pavel Fraenkl /,"Kejzlar, Radko,",jk01060040,1988,"Fraenkl, Pavel,",osobnosti,nekrology
5655,Hrabalovy reflexe /,"Vašíček, Petr",,1988,"Řezníček, Ladislav,;Hrabal, Bohumil,",osobnosti,recenze
5656,Jiří Karásek ze Lvovic /,"Měšťan, Antonín,",jk01081347,1988,"Karásek ze Lvovic, Jiří,",osobnosti,studie
5657,Břevnovský opat Otec Anastáz Opasek : oslavil pětasedmdesátiny,,,1988,"Opasek, Anastáz,",osobnosti,medailony
5658,Masaryk - Pekař - Šalda /,"Steiner, Václav,",jn19990209797,1988,"Šalda, F. X.;Masaryk, Tomáš Garrigue,;Pekař, Josef,;Neuwirth, Vladimír,",literární druhy;osobnosti,referáty
